step,remaining_s_km,v_ref_kmh,soc_pred
20,4.2,76.9,0.9365
20,14.2,77.5,0.9355
20,24.2,78.1,0.9345
20,34.2,78.6,0.9335
20,44.2,78.8,0.9325
20,54.2,78.9,0.9315
20,64.2,78.7,0.9305
20,74.2,78.3,0.9295
20,84.2,77.8,0.9285
20,94.2,77.2,0.9275
20,104.2,76.5,0.9265
20,114.2,75.9,0.9255
20,124.2,75.4,0.9245
20,134.2,75.0,0.9235
20,144.2,74.9,0.9225
20,154.2,75.0,0.9215
20,164.2,75.2,0.9205
20,174.2,75.7,0.9195
20,184.2,76.3,0.9185
20,194.2,77.0,0.9175
20,204.2,77.6,0.9165
20,214.2,78.2,0.9155
20,224.2,78.6,0.9145
20,234.2,78.8,0.9135
20,244.2,78.8,0.9125
20,254.2,78.6,0.9115
20,264.2,78.2,0.9105
20,274.2,77.7,0.9095
20,284.2,77.1,0.9085
20,294.2,76.4,0.9075
