step,s_km,v_kmh,p_solar_w,p_batt_w,v_batt_v,i_batt_a,soc
1,0.213,76.6,869.9,1151.0,102.4,11.7,0.9494
2,0.430,78.1,888.9,1153.9,102.4,11.7,0.9487
3,0.650,79.2,906.5,1158.7,102.4,11.7,0.9481
4,0.872,79.9,921.7,1165.2,102.4,11.7,0.9474
5,1.094,80.0,934.1,1173.0,102.4,11.7,0.9468
6,1.315,79.5,943.2,1181.9,102.4,11.7,0.9461
7,1.533,78.6,948.5,1191.5,102.4,11.7,0.9455
8,1.748,77.3,950.0,1201.5,102.4,11.7,0.9448
9,1.958,75.7,947.4,1211.4,102.4,11.7,0.9441
10,2.164,74.0,940.9,1220.8,102.4,11.7,0.9434
11,2.365,72.5,930.8,1229.4,102.4,11.7,0.9428
12,2.563,71.2,917.5,1236.9,102.4,11.7,0.9421
13,2.758,70.4,901.6,1242.8,102.4,11.7,0.9414
14,2.953,70.0,883.5,1247.1,102.4,11.7,0.9407
15,3.148,70.2,864.1,1249.5,102.4,11.7,0.9400
16,3.345,70.9,844.2,1249.9,102.4,11.7,0.9393
17,3.545,72.1,824.4,1248.3,102.4,11.7,0.9386
18,3.750,73.6,805.7,1244.8,102.4,11.7,0.9379
19,3.959,75.3,788.8,1239.5,102.4,11.7,0.9372
20,4.172,76.9,774.3,1232.7,102.4,11.7,0.9365
