Solar[A],Battery[A],Main_Volt[V],Solar_Watt[W],Battery_Watt[W],Sub_Volt[V],Speed[kmh],time
0.19,0.02,94.5,18,1.9,0,0,7:01:15
0.19,0.02,94.5,18,1.9,0,0,7:01:20
0.2,0.02,94.5,18.9,1.9,0,0,7:01:25
0.2,0.02,94.5,18.9,1.9,0,0,7:01:30
0.2,0.02,94.5,18.9,1.9,0,0,7:01:35
0.21,0.02,94.5,19.8,1.9,0,0,7:01:40
0.21,0.01,94.5,19.8,0.9,0,0,7:01:45
0.21,0.01,94.5,19.8,0.9,0,0,7:01:50
0.21,0.01,94.5,19.8,0.9,0,0,7:01:55
0.22,0,94.5,20.8,0,0,0,7:02:00
0.22,0.01,94.5,20.8,0.9,0,0,7:02:05
0.22,0,94.5,20.8,0,0,0,7:02:10
0.22,0,94.5,20.8,0,0,0,7:02:15
0.23,0,94.5,21.7,0,0,0,7:02:20
0.23,0,94.5,21.7,0,0,0,7:02:25
0.23,0,94.5,21.7,0,0,0,7:02:30
0.23,0,94.5,21.7,0,0,0,7:02:35
0.24,0,94.5,22.7,0,0,0,7:02:40
0.24,0,94.5,22.7,0,0,0,7:02:45
0.24,0,94.5,22.7,0,0,0,7:02:50
0.24,0,94.5,22.7,0,0,0,7:02:55
0.24,0,94.5,22.7,0,0,0,7:03:00
0.25,0,94.5,23.6,0,0,0,7:03:05
0.25,-0.01,94.5,23.6,-0.9,0,0,7:03:10
0.25,-0.01,94.5,23.6,-0.9,0,0,7:03:15
0.25,-0.01,94.5,23.6,-0.9,0,0,7:03:20
0.25,-0.01,94.5,23.6,-0.9,0,0,7:03:25
0.22,0,94.5,20.8,0,0,0,7:03:30
1.67,-1.3,94.8,158.3,-123.2,0,0,7:03:35
1.68,-1.31,94.8,159.3,-124.2,0,0,7:03:40
1.67,-1.3,94.8,158.3,-123.2,0,0,7:03:45
1.56,-1.19,94.8,147.9,-112.8,0,0,7:03:50
1.54,-1.18,94.8,146,-111.9,0,0,7:03:55
1.51,-1.15,94.8,143.1,-109,0,0,7:04:00
1.49,-1.14,94.8,141.3,-108.1,0,0,7:04:05
1.47,-1.12,94.8,139.4,-106.2,0,0,7:04:10
1.44,-1.09,94.8,136.5,-103.3,0,0,7:04:15
1.42,-1.08,94.8,134.6,-102.4,0,0,7:04:20
1.43,-1.08,94.8,135.6,-102.4,0,0,7:04:25
1.41,-1.07,94.8,133.7,-101.4,0,0,7:04:30
1.41,-1.06,94.8,133.7,-100.5,0,0,7:04:35
1.41,-1.06,94.8,133.7,-100.5,0,0,7:04:40
1.41,-1.06,94.8,133.7,-100.5,0,0,7:04:45
1.42,-1.08,94.8,134.6,-102.4,0,0,7:04:50
1.44,-1.09,94.8,136.5,-103.3,0,0,7:04:55
1.46,-1.1,94.8,138.4,-104.3,0,0,7:05:00
1.47,-1.11,94.8,139.4,-105.2,0,0,7:05:05
1.47,-1.12,94.9,139.5,-106.3,0,0,7:05:10
1.46,-1.11,94.8,138.4,-105.2,0,0,7:05:15
1.46,-1.11,94.9,138.6,-105.3,0,0,7:05:20
1.46,-1.11,94.8,138.4,-105.2,0,0,7:05:25
1.47,-1.12,94.9,139.5,-106.3,0,0,7:05:30
1.47,-1.12,94.9,139.5,-106.3,0,0,7:05:35
1.47,-1.11,94.9,139.5,-105.3,0,0,7:05:40
1.49,-1.13,94.9,141.4,-107.2,0,0,7:05:45
1.5,-1.15,94.9,142.4,-109.1,0,0,7:05:50
1.55,-1.18,95,147.3,-112.1,0,0,7:05:55
1.56,-1.2,94.9,148,-113.9,0,0,7:06:00
1.5,-1.14,94.9,142.4,-108.2,0,0,7:06:05
0.82,-0.53,94.8,77.7,-50.2,0,0,7:06:10
1.53,-1.17,94.9,145.2,-111,0,0,7:06:15
1.52,-1.17,94.9,144.2,-111,0,0,7:06:20
1.51,-1.15,94.9,143.3,-109.1,0,0,7:06:25
1.52,-1.16,94.9,144.2,-110.1,0,0,7:06:30
1.53,-1.17,94.9,145.2,-111,0,0,7:06:35
1.56,-1.2,94.9,148,-113.9,0,0,7:06:40
1.61,-1.25,95,153,-118.8,0,0,7:06:45
1.66,-1.29,95,157.7,-122.6,0,0,7:06:50
1.72,-1.35,95,163.4,-128.3,0,0,7:06:55
1.81,-1.42,95,172,-134.9,0,0,7:07:00
1.87,-1.49,95,177.7,-141.6,0,0,7:07:05
1.93,-1.54,95,183.4,-146.3,0,0,7:07:10
1.99,-1.59,95,189.1,-151.1,0,0,7:07:15
2.1,-1.69,95,199.5,-160.6,0,0,7:07:20
