ZP Download Data
2025/08/28 17:22:58 
C:\Users\aoit0\OneDrive\デスクトップ\BWSC2025ZPデータ\ZP_Data0828.csv
データ記録=,5秒間隔
データ数=,7642
No,Solar[A],Battery[A],Main_Volt[V],Solar_Watt[W],Battery_Watt[W],Sub_Volt[V],Speed[kmh]
1,0.42,-0.17,90.6,38.1,-15.4,0.0,0
2,0.43,-0.17,90.6,39.0,-15.4,0.0,0
3,0.45,-0.19,90.6,40.8,-17.2,0.0,0
4,0.46,-0.20,90.6,41.7,-18.1,0.0,0
5,0.48,-0.22,90.6,43.5,-19.9,0.0,0
6,0.50,-0.23,90.6,45.3,-20.8,0.0,0
7,0.51,-0.24,90.6,46.2,-21.7,0.0,0
8,0.52,-0.25,90.6,47.1,-22.7,0.0,0
9,0.54,-0.27,90.6,48.9,-24.5,0.0,0
10,0.55,-0.28,90.6,49.8,-25.4,0.0,0
11,0.57,-0.31,90.6,51.6,-28.1,0.0,0
12,0.59,-0.32,90.6,53.5,-29.0,0.0,0
13,0.60,-0.32,90.6,54.4,-29.0,0.0,0
14,0.62,-0.34,90.7,56.2,-30.8,0.0,0
15,0.63,-0.35,90.6,57.1,-31.7,0.0,0
16,0.65,-0.36,90.7,59.0,-32.7,0.0,0
17,0.66,-0.38,90.7,59.9,-34.5,0.0,0
18,0.68,-0.40,90.7,61.7,-36.3,0.0,0
19,0.70,-0.41,90.7,63.5,-37.2,0.0,0
20,0.73,-0.44,90.7,66.2,-39.9,0.0,0
21,0.74,-0.45,90.7,67.1,-40.8,0.0,0
22,0.77,-0.48,90.7,69.8,-43.5,0.0,0
23,0.78,-0.49,90.7,70.7,-44.4,0.0,0
24,0.81,-0.51,90.7,73.5,-46.3,0.0,0
25,0.83,-0.53,90.7,75.3,-48.1,0.0,0
26,0.85,-0.55,90.8,77.2,-49.9,0.0,0
27,0.87,-0.57,90.8,79.0,-51.8,0.0,0
28,0.90,-0.59,90.8,81.7,-53.6,0.0,0
29,0.92,-0.61,90.8,83.5,-55.4,0.0,0
30,0.94,-0.64,90.7,85.3,-58.0,0.0,0
31,0.96,-0.65,90.8,87.2,-59.0,0.0,0
32,0.98,-0.67,90.8,89.0,-60.8,0.0,0
33,1.00,-0.69,90.8,90.8,-62.7,0.0,0
34,1.02,-0.70,90.9,92.7,-63.6,0.0,0
35,4.82,-4.21,92.4,445.4,-389.0,0.0,0
36,4.83,-4.21,92.4,446.3,-389.0,0.0,0
37,4.84,-4.22,92.4,447.2,-389.9,0.0,0
38,4.86,-4.24,92.4,449.1,-391.8,0.0,0
39,4.86,-4.24,92.4,449.1,-391.8,0.0,0
40,4.87,-4.25,92.4,450.0,-392.7,0.0,0
41,4.88,-4.26,92.4,450.9,-393.6,0.0,0
42,4.90,-4.27,92.4,452.8,-394.5,0.0,0
43,4.86,-4.23,92.4,449.1,-390.9,0.0,0
44,4.88,-4.26,92.4,450.9,-393.6,0.0,0
45,4.84,-4.23,92.4,447.2,-390.9,0.0,0
46,4.86,-4.24,92.4,449.1,-391.8,0.0,0
47,4.95,-4.32,92.4,457.4,-399.2,0.0,0
48,4.96,-4.34,92.5,458.8,-401.5,0.0,0
49,4.89,-4.26,92.4,451.8,-393.6,0.0,0
50,4.93,-4.30,92.4,455.5,-397.3,0.0,0
51,4.94,-4.31,92.4,456.5,-398.2,0.0,0
52,4.98,-4.35,92.5,460.7,-402.4,0.0,0
53,4.98,-4.35,92.4,460.2,-401.9,0.0,0
54,5.07,-4.43,92.5,469.0,-409.8,0.0,0
55,5.18,-4.54,92.5,479.2,-420.0,0.0,0
56,5.20,-4.56,92.5,481.0,-421.8,0.0,0
57,5.21,-4.57,92.5,481.9,-422.7,0.0,0
58,5.21,-4.56,92.5,481.9,-421.8,0.0,0
59,5.24,-4.59,92.5,484.7,-424.6,0.0,0
60,5.24,-4.59,92.6,485.2,-425.0,0.0,0
61,5.25,-4.60,92.6,486.2,-426.0,0.0,0
62,5.25,-4.60,92.6,486.2,-426.0,0.0,0
63,5.27,-4.62,92.7,488.5,-428.3,0.0,0
64,5.28,-4.63,92.7,489.5,-429.2,0.0,0
65,5.29,-4.65,92.7,490.4,-431.1,0.0,0
66,5.30,-4.65,92.7,491.3,-431.1,0.0,0
67,5.32,-4.66,92.7,493.2,-432.0,0.0,0
68,5.33,-4.68,92.7,494.1,-433.8,0.0,0
69,5.34,-4.68,92.7,495.0,-433.8,0.0,0
70,5.36,-4.69,92.7,496.9,-434.8,0.0,0
71,5.38,-4.71,92.7,498.7,-436.6,0.0,0
72,5.39,-4.72,92.7,499.7,-437.5,0.0,0
73,5.41,-4.75,92.7,501.5,-440.3,0.0,0
74,5.43,-4.77,92.7,503.4,-442.2,0.0,0
75,5.44,-4.79,92.7,504.3,-444.0,0.0,0
76,5.45,-4.78,92.7,505.2,-443.1,0.0,0
77,5.45,-4.78,92.7,505.2,-443.1,0.0,0
78,5.47,-4.80,92.7,507.1,-445.0,0.0,0
79,5.48,-4.81,92.7,508.0,-445.9,0.0,0
80,5.44,-4.77,92.7,504.3,-442.2,0.0,0
81,5.45,-4.78,92.7,505.2,-443.1,0.0,0
