distance_m,lat,lon,elev_dem_m,delta_elev_m,grade_raw,grade_smoothed,grade_raw_pct,grade_smoothed_pct
0,-12.466087,130.842841,34.80534335,0.686781122,0.006867811,,0.686781122,
100,-12.46546379,130.8426785,35.49212447,1.335449272,0.013354493,,1.335449272,
200,-12.46483738,130.8433394,36.82757375,-0.499982959,-0.0050,-0.004043948,-0.499982959,-0.404394845
300,-12.46419256,130.8439839,36.32759079,-3.139826815,-0.031398268,-0.020690005,-3.139826815,-2.069000545
400,-12.46353976,130.8446201,33.18776397,-5.971641679,-0.059716417,-0.03982558,-5.971641679,-3.982558031
500,-12.46288575,130.8452547,27.21612229,-6.318780671,-0.063187807,-0.049564187,-6.318780671,-4.9564187
600,-12.4622122,130.845866,20.89734162,-4.395425633,-0.043954256,-0.046145073,-4.395425633,-4.614507327
700,-12.46147725,130.8463955,16.50191599,-1.772181325,-0.017721813,-0.035206563,-1.772181325,-3.520656297
800,-12.46066735,130.8468005,14.72973466,-1.596237561,-0.015962376,-0.018004532,-1.596237561,-1.800453182
900,-12.45977858,130.8469437,13.1334971,0.562031792,0.005620318,-0.012250757,0.562031792,-1.225075734
1000,-12.45887802,130.8468907,13.6955289,-2.093915845,-0.020939158,-0.011994687,-2.093915845,-1.199468658
1100,-12.45800341,130.8466642,11.60161305,-1.669753019,-0.01669753,-0.005003548,-1.669753019,-0.500354806
1200,-12.45720768,130.8462353,9.931860032,1.200217847,0.012002178,-0.004838084,1.200217847,-0.483808385
1300,-12.45658519,130.8455739,11.13207788,0.628217477,0.006282175,-0.008176002,0.628217477,-0.817600247
1400,-12.45605367,130.844831,11.76029536,-3.429083291,-0.034290833,-0.004962925,-3.429083291,-0.496292505
1500,-12.4553533,130.8453538,8.331212065,-0.384522051,-0.003845221,-0.008693706,-0.384522051,-0.869370617
1600,-12.45459701,130.8458556,7.946690014,-0.292094603,-0.002920946,-0.010266682,-0.292094603,-1.026668167
1700,-12.45382448,130.8463324,7.654595411,-0.000972725,-9.73E-06,0.003295595,-0.000972725,0.329559513
1800,-12.45311487,130.8469,7.653622687,1.995827431,0.019958274,0.008017384,1.995827431,0.801738412
1900,-12.45240541,130.8474621,9.649450117,1.504193545,0.015041935,0.008379508,1.504193545,0.83795077
2000,-12.45160222,130.8478825,11.15364366,-0.14724517,-0.001472452,0.001358832,-0.14724517,0.13588315
2100,-12.45074851,130.8481819,11.00639849,-2.809243206,-0.028092432,-0.003707846,-2.809243206,-0.370784554
2200,-12.44987788,130.8484293,8.197155287,-0.030843386,-0.000308434,-0.007868872,-0.030843386,-0.786887176
2300,-12.4490095,130.8486848,8.166311901,-0.160216944,-0.001602169,-0.006251762,-0.160216944,-0.625176187
2400,-12.44813433,130.8489135,8.006094957,0.499598788,0.004995988,0.000478015,0.499598788,0.047801491
2500,-12.44724274,130.8490581,8.505693745,-0.117332496,-0.001173325,-0.004510311,-0.117332496,-0.45103114
2600,-12.44634421,130.8491548,8.388361249,-2.026173909,-0.020261739,-0.004988962,-2.026173909,-0.498896168
2700,-12.44544071,130.8491732,6.36218734,-0.351677055,-0.003516771,-0.008321827,-0.351677055,-0.832182717
2800,-12.44453906,130.8491079,6.010510284,-0.833547409,-0.008335474,-0.003971805,-0.833547409,-0.39718055
2900,-12.44363885,130.8490243,5.176962875,1.622676175,0.016226762,-0.004413212,1.622676175,-0.44132119
3000,-12.44273801,130.8489538,6.79963905,-2.202736471,-0.022027365,-0.011634004,-2.202736471,-1.163400408
3100,-12.44183741,130.8490128,4.596902579,-3.239993926,-0.032399939,-0.012995495,-3.239993926,-1.299549529
3200,-12.4409448,130.8491537,1.356908652,-1.378143892,-0.013781439,-0.009176873,-1.378143892,-0.9176873
3300,-12.44006785,130.8493757,-0.021235239,3.150125088,0.031501251,0.007748449,3.150125088,0.774844948
3400,-12.43922429,130.8497043,3.128889849,4.567392522,0.045673925,0.026455654,4.567392522,2.6455654
3500,-12.43842062,130.8501221,7.696282372,4.24288788,0.042428879,0.048940942,4.24288788,4.894094237
3600,-12.43767857,130.850646,11.93917025,7.615971459,0.076159715,0.053939819,7.615971459,5.393981947
3700,-12.43699503,130.8512473,19.55514171,5.149675928,0.051496759,0.042270106,5.149675928,4.227010599
3800,-12.43638237,130.8519226,24.70481764,-0.10049287,-0.001004929,0.030392619,-0.10049287,3.039261925
3900,-12.43585067,130.8526658,24.60432477,-0.508106815,-0.005081068,0.005671247,-0.508106815,0.567124704
4000,-12.43540361,130.853464,24.09621795,-2.272577427,-0.022725774,-0.017508756,-2.272577427,-1.750875619
4100,-12.43504518,130.8543081,21.82364053,-4.122325363,-0.041223254,-0.025035448,-4.122325363,-2.503544767
4200,-12.43470898,130.8551619,17.70131516,-3.111169461,-0.031111695,-0.021662699,-3.111169461,-2.166269857
4300,-12.43437521,130.8560166,14.5901457,0.840992821,0.008409928,-0.0172389,0.840992821,-1.723890023
4400,-12.43404431,130.8568725,15.43113852,-0.503058088,-0.005030581,-0.0033503,-0.503058088,-0.33502995
4500,-12.43371456,130.8577288,14.92808044,1.433114927,0.014331149,-0.006140808,1.433114927,-0.614080776
4600,-12.43337756,130.8585822,16.36119536,-4.227372764,-0.042273728,-0.021279938,-4.227372764,-2.127993822
4700,-12.43304761,130.8594384,12.1338226,-5.214659364,-0.052146594,-0.024731032,-5.214659364,-2.473103239
4800,-12.43278298,130.8603176,6.919163235,-1.883495756,-0.018834958,-0.028978197,-1.883495756,-2.897819679
4900,-12.43259026,130.8612159,5.035667479,-0.265750832,-0.002657508,-0.015750554,-0.265750832,-1.575055374
5000,-12.43247951,130.8621284,4.769916647,1.063684456,0.010636845,-0.005710944,1.063684456,-0.571094367
5100,-12.43246541,130.8630477,5.833601103,-1.198815337,-0.011988153,-0.000691363,-1.198815337,-0.069136256
5200,-12.43247097,130.8639674,4.634785766,0.12433669,0.001243367,0.004002193,0.12433669,0.400219307
5300,-12.43246748,130.8648871,4.759122456,1.61167142,0.016116714,0.005404648,1.61167142,0.540464846
5400,-12.43246394,130.8658069,6.370793876,1.624666612,0.016246666,0.011744511,1.624666612,1.174451143
5500,-12.4324604,130.8667266,7.995460488,1.337129852,0.013371299,0.018030697,1.337129852,1.803069749
5600,-12.43245735,130.8676463,9.33259034,2.638811114,0.026388111,0.018454066,2.638811114,1.845406619
5700,-12.432466,130.868566,11.97140145,1.781018897,0.017810189,0.015648356,1.781018897,1.564835568
5800,-12.43246107,130.8694858,13.75242035,0.50238241,0.005023824,0.021071612,0.50238241,2.107161182
5900,-12.43245615,130.8704055,14.25480276,3.506432306,0.035064323,0.015487455,3.506432306,1.548745503
6000,-12.43245122,130.8713252,17.76123507,0.405148399,0.004051484,0.011278332,0.405148399,1.127833187
6100,-12.43244837,130.872245,18.16638347,0.097369634,0.000973696,0.016973933,0.097369634,1.697393326
6200,-12.43244561,130.8731647,18.2637531,2.780622965,0.02780623,0.013292118,2.780622965,1.329211772
6300,-12.43244117,130.8740844,21.04437606,2.033706089,0.020337061,0.015113544,2.033706089,1.51135444
6400,-12.43243982,130.8750042,23.07808215,1.133719073,0.011337191,0.016925565,1.133719073,1.692556451
6500,-12.4324303,130.8759238,24.21180123,0.822177679,0.008221777,0.009222121,0.822177679,0.922212081
6600,-12.43242289,130.8768435,25.0339789,-0.300754517,-0.003007545,0.002561098,-0.300754517,0.256109837
6700,-12.43241952,130.8777633,24.73322439,-0.630702885,-0.006307029,-0.005649859,-0.630702885,-0.564985908
6800,-12.43241616,130.878683,24.1025215,-2.150663908,-0.021506639,-0.014903898,-2.150663908,-1.490389807
6900,-12.4324135,130.8796027,21.95185759,-2.879437919,-0.028794379,-0.017396295,-2.879437919,-1.739629455
7000,-12.43241211,130.8805225,19.07241968,-1.297713109,-0.012977131,-0.014051871,-1.297713109,-1.405187114
7100,-12.43241072,130.8814422,17.77470657,0.707066479,0.007070665,-0.015044206,0.707066479,-1.504420637
7200,-12.43240933,130.882362,18.48177305,-2.547598001,-0.02547598,-0.008560446,-2.547598001,-0.856044645
7300,-12.43240794,130.8832817,15.93417504,-0.285933951,-0.00285934,-0.007018959,-0.285933951,-0.701895897
7400,-12.43240654,130.8842014,15.64824109,-0.681118114,-0.006811181,-0.007427296,-0.681118114,-0.742729638
7500,-12.43240513,130.8851212,14.96712298,0.543731513,0.005437315,0.001148431,0.543731513,0.114843077
7600,-12.43240373,130.8860409,15.51085449,0.882692859,0.008826929,0.001702034,0.882692859,0.170203384
7700,-12.43239779,130.8869606,16.39354735,-0.064492724,-0.000644927,0.004616037,-0.064492724,0.461603708
7800,-12.43238702,130.8878803,16.32905463,0.484483184,0.004844832,0.007319986,0.484483184,0.731998558
7900,-12.43239687,130.8888,16.81353781,1.625310912,0.016253109,0.00777475,1.625310912,0.777474999
