ZP Download Data
2025/08/22 17:29:21 
C:\Users\aoit0\OneDrive\デスクトップ\BWSC2025ZPデータ\ZP_Data0822.csv
データ記録=,5秒間隔
データ数=,1188
No,Solar[A],Battery[A],Main_Volt[V],Solar_Watt[W],Battery_Watt[W],Sub_Volt[V],Speed[kmh]
1,0.00,0.20,0.0,0.0,0.0,0.0,0
2,0.00,0.20,0.0,0.0,0.0,0.0,0
3,0.00,0.20,0.0,0.0,0.0,0.0,0
4,0.00,0.20,0.0,0.0,0.0,0.0,0
5,0.00,0.20,0.0,0.0,0.0,0.0,0
6,0.00,0.20,0.0,0.0,0.0,0.0,0
7,0.00,0.20,0.0,0.0,0.0,0.0,0
8,0.00,0.20,0.0,0.0,0.0,0.0,0
9,0.00,0.20,0.0,0.0,0.0,0.0,0
10,0.00,0.20,0.0,0.0,0.0,0.0,0
11,0.00,0.20,0.0,0.0,0.0,0.0,0
12,0.00,0.20,0.0,0.0,0.0,0.0,0
13,0.00,0.20,0.0,0.0,0.0,0.0,0
14,0.00,0.20,0.0,0.0,0.0,0.0,0
15,0.00,0.20,0.0,0.0,0.0,0.0,0
16,0.00,0.20,0.0,0.0,0.0,0.0,0
17,0.00,0.20,0.0,0.0,0.0,0.0,0
18,0.00,0.20,0.0,0.0,0.0,0.0,0
19,0.00,0.20,0.0,0.0,0.0,0.0,0
20,0.00,0.20,0.0,0.0,0.0,0.0,0
21,0.00,0.20,0.0,0.0,0.0,0.0,0
22,0.00,0.20,0.0,0.0,0.0,0.0,0
23,0.00,0.20,0.0,0.0,0.0,0.0,0
24,0.00,0.20,0.0,0.0,0.0,0.0,0
25,0.00,0.20,0.0,0.0,0.0,0.0,0
26,0.00,0.20,0.0,0.0,0.0,0.0,0
27,0.00,0.20,0.0,0.0,0.0,0.0,0
28,0.00,0.20,0.0,0.0,0.0,0.0,0
29,0.00,0.20,0.0,0.0,0.0,0.0,0
30,0.00,0.20,0.0,0.0,0.0,0.0,0
31,0.00,0.20,0.0,0.0,0.0,0.0,0
32,0.00,0.20,0.0,0.0,0.0,0.0,0
33,0.00,0.20,0.0,0.0,0.0,0.0,0
34,0.00,0.20,0.0,0.0,0.0,0.0,0
35,0.00,0.20,0.0,0.0,0.0,0.0,0
36,0.00,0.20,0.0,0.0,0.0,0.0,0
37,0.00,0.20,0.0,0.0,0.0,0.0,0
38,0.00,0.20,0.0,0.0,0.0,0.0,0
39,0.00,0.20,0.0,0.0,0.0,0.0,0
40,0.00,0.20,0.0,0.0,0.0,0.0,0
41,0.00,0.20,0.0,0.0,0.0,0.0,0
42,0.00,0.20,0.0,0.0,0.0,0.0,0
43,0.00,0.20,0.0,0.0,0.0,0.0,0
44,0.00,0.20,93.2,0.0,18.6,0.0,0
45,0.00,0.20,95.2,0.0,19.0,0.0,0
46,0.00,0.20,95.3,0.0,19.1,0.0,0
47,0.00,0.20,95.3,0.0,19.1,0.0,0
48,0.00,0.20,95.3,0.0,19.1,0.0,0
49,0.00,0.20,95.2,0.0,19.0,0.0,0
50,0.00,0.20,95.3,0.0,19.1,0.0,0
51,0.00,0.20,95.3,0.0,19.1,0.0,0
52,0.00,0.20,95.3,0.0,19.1,0.0,0
53,0.00,0.20,95.3,0.0,19.1,0.0,0
54,0.00,0.20,95.3,0.0,19.1,0.0,0
55,0.00,0.20,95.3,0.0,19.1,0.0,0
56,0.00,0.20,95.3,0.0,19.1,0.0,0
57,0.00,0.20,95.3,0.0,19.1,0.0,0
58,0.00,0.20,95.3,0.0,19.1,0.0,0
59,0.00,0.20,95.3,0.0,19.1,0.0,0
60,0.00,0.20,95.3,0.0,19.1,0.0,0
61,0.00,0.20,95.3,0.0,19.1,0.0,0
62,0.00,0.20,95.3,0.0,19.1,0.0,0
63,0.00,0.20,95.3,0.0,19.1,0.0,0
64,0.00,0.20,95.3,0.0,19.1,0.0,0
65,0.00,0.20,95.3,0.0,19.1,0.0,0
66,0.00,0.20,95.3,0.0,19.1,0.0,0
67,0.00,0.20,95.3,0.0,19.1,0.0,0
68,0.00,0.20,95.3,0.0,19.1,0.0,0
69,0.00,0.20,95.3,0.0,19.1,0.0,0
70,0.00,0.20,95.3,0.0,19.1,0.0,0
71,0.00,0.20,95.3,0.0,19.1,0.0,0
72,0.00,0.20,95.3,0.0,19.1,0.0,0
73,0.00,0.20,95.3,0.0,19.1,0.0,0
74,0.00,0.20,95.3,0.0,19.1,0.0,0
75,0.00,0.20,95.3,0.0,19.1,0.0,0
76,0.00,0.20,95.3,0.0,19.1,0.0,0
77,0.00,0.20,95.3,0.0,19.1,0.0,0
78,0.00,0.20,95.3,0.0,19.1,0.0,0
79,0.00,0.20,95.3,0.0,19.1,0.0,0
80,0.00,0.20,95.3,0.0,19.1,0.0,0
81,0.00,0.20,95.3,0.0,19.1,0.0,0
82,0.00,0.21,95.3,0.0,20.0,0.0,0
83,0.00,0.20,95.3,0.0,19.1,0.0,0
84,0.00,0.20,95.3,0.0,19.1,0.0,0
85,0.00,0.20,95.3,0.0,19.1,0.0,0
86,0.00,0.21,95.3,0.0,20.0,0.0,0
87,0.00,0.20,95.3,0.0,19.1,0.0,0
88,0.00,0.20,95.3,0.0,19.1,0.0,0
89,0.00,0.20,95.3,0.0,19.1,0.0,0
90,0.00,0.20,95.3,0.0,19.1,0.0,0
91,0.00,0.21,95.3,0.0,20.0,0.0,0
92,0.00,0.20,95.3,0.0,19.1,0.0,0
93,0.00,0.20,95.3,0.0,19.1,0.0,0
94,0.00,0.20,95.3,0.0,19.1,0.0,0
95,0.00,0.20,95.3,0.0,19.1,0.0,0
96,0.00,0.21,95.3,0.0,20.0,0.0,0
97,0.00,0.20,95.3,0.0,19.1,0.0,0
98,0.00,0.21,95.3,0.0,20.0,0.0,0
99,0.00,0.21,95.3,0.0,20.0,0.0,0
100,0.00,0.21,95.3,0.0,20.0,0.0,0
101,0.00,0.21,95.3,0.0,20.0,0.0,0
102,0.00,0.21,95.3,0.0,20.0,0.0,0
103,0.00,0.20,95.3,0.0,19.1,0.0,0
104,0.00,0.20,95.3,0.0,19.1,0.0,0
105,0.00,0.21,95.3,0.0,20.0,0.0,0
106,0.00,0.21,95.3,0.0,20.0,0.0,0
107,0.00,0.20,95.3,0.0,19.1,0.0,0
108,0.00,0.21,95.3,0.0,20.0,0.0,0
109,0.00,0.21,95.3,0.0,20.0,0.0,0
110,0.00,0.20,95.3,0.0,19.1,0.0,0
111,0.00,0.20,95.3,0.0,19.1,0.0,0
112,0.00,0.20,95.3,0.0,19.1,0.0,0
113,0.00,0.21,95.3,0.0,20.0,0.0,0
114,0.00,0.20,95.3,0.0,19.1,0.0,0
115,0.00,0.20,95.3,0.0,19.1,0.0,0
116,0.00,0.20,95.3,0.0,19.1,0.0,0
117,0.00,0.20,95.3,0.0,19.1,0.0,0
118,0.00,0.20,95.3,0.0,19.1,0.0,0
