Voltage(V),cellVoltage(V),Current(A),time,used_A[Ah],SOC(%)
8.38,4.19,0.028,0:00:01,0,100
8.38,4.19,0.032,0:00:02,8.88889E-06,99.99998261
8.379,4.1895,0.032,0:00:03,1.77778E-05,99.99996522
8.38,4.19,0.035,0:00:04,0.0000275,99.9999462
8.381,4.1905,0.032,0:00:05,3.63889E-05,99.99992881
8.371,4.1855,1.224,0:00:06,0.000376389,99.99926369
8.36,4.18,2.45,0:00:07,0.001056944,99.99793236
8.348,4.174,3.638,0:00:08,0.0020675,99.99595547
8.339,4.1695,4.839,0:00:09,0.003411667,99.99332595
8.323,4.1615,6.318,0:00:10,0.005166667,99.98989275
8.302,4.151,8.726,0:00:11,0.007590556,99.98515103
8.285,4.1425,10.713,0:00:12,0.010566389,99.97932958
8.286,4.143,10,0:00:13,0.013344167,99.97389557
8.286,4.143,10,0:00:14,0.016121944,99.96846156
8.283,4.1415,10,0:00:15,0.018899722,99.96302756
8.283,4.1415,10,0:00:16,0.0216775,99.95759355
8.281,4.1405,10,0:00:17,0.024455278,99.95215954
8.28,4.14,10,0:00:18,0.027233056,99.94672553
8.28,4.14,10,0:00:19,0.030010833,99.94129152
8.28,4.14,10,0:00:20,0.032788611,99.93585752
8.277,4.1385,10,0:00:21,0.035566389,99.93042351
8.279,4.1395,10,0:00:22,0.038344167,99.9249895
8.275,4.1375,10,0:00:23,0.041121944,99.91955549
8.275,4.1375,10,0:00:24,0.043899722,99.91412149
8.276,4.138,10,0:00:25,0.0466775,99.90868748
8.274,4.137,10,0:00:26,0.049455278,99.90325347
8.274,4.137,10,0:00:27,0.052233056,99.89781946
8.273,4.1365,10,0:00:28,0.055010833,99.89238546
8.271,4.1355,10,0:00:29,0.057788611,99.88695145
8.271,4.1355,10,0:00:30,0.060566389,99.88151744
8.271,4.1355,10,0:00:31,0.063344167,99.87608343
8.269,4.1345,10,0:00:32,0.066121944,99.87064942
8.269,4.1345,10,0:00:33,0.068899722,99.86521542
8.269,4.1345,10,0:00:34,0.0716775,99.85978141
8.267,4.1335,10,0:00:35,0.074455278,99.8543474
8.268,4.134,10,0:00:36,0.077233056,99.84891339
8.265,4.1325,10,0:00:37,0.080010833,99.84347939
8.265,4.1325,10,0:00:38,0.082788611,99.83804538
8.267,4.1335,10,0:00:39,0.085566389,99.83261137
8.263,4.1315,10,0:00:40,0.088344167,99.82717736
8.264,4.132,10,0:00:41,0.091121944,99.82174336
8.262,4.131,10,0:00:42,0.093899722,99.81630935
8.261,4.1305,10,0:00:43,0.0966775,99.81087534
8.263,4.1315,10,0:00:44,0.099455278,99.80544133
8.261,4.1305,10,0:00:45,0.102233056,99.80000733
