time_utc,speed_cmd_kmh,upper_speed_cmd_kmh,speed_meas_kmh,throttle_cmd_pct,drive_mode,soc,Tb_C,batt_current_a,batt_voltage_v,motor_w,motor_a,solar_w,wheel_w,pack_w,G_poa,Tcell_C,Tamb_C,headwind_ms,slope_pct,s_km,system_state,system_diag,mpc_state,system_health
2026-01-27T00:34:49.635921Z,70.0,70.0,70.0,20.0,power,0.9395,35.0,10.0,95.0,1200.0,12.63,900.0,1000.0,300.0,900.0,45.0,33.0,0.0,0.0,0.004,RUN,OK,RUN,0.98
2026-01-27T00:34:49.835921Z,70.1,70.12,70.14,20.2,power,0.9288,35.0,10.08,95.02,1208.9,12.72,900.8,1005.5,308.1,900.7,45.01,33.0,0.0,0.0,0.008,RUN,OK,RUN,0.98
2026-01-27T00:34:50.035921Z,70.2,70.23,70.28,20.4,power,0.918,35.01,10.16,95.04,1217.8,12.81,901.7,1010.9,316.1,901.3,45.01,33.01,0.01,0.0,0.012,RUN,OK,RUN,0.98
2026-01-27T00:34:50.235921Z,70.3,70.35,70.42,20.6,power,0.907,35.01,10.24,95.06,1226.7,12.9,902.5,1016.4,324.2,902.0,45.02,33.01,0.01,0.0,0.016,RUN,OK,RUN,0.98
2026-01-27T00:34:50.435921Z,70.4,70.47,70.56,20.8,power,0.8958,35.02,10.32,95.08,1235.5,12.99,903.3,1021.8,332.2,902.7,45.03,33.01,0.02,0.0,0.02,RUN,OK,RUN,0.98
2026-01-27T00:34:50.635921Z,70.5,70.58,70.7,21.0,power,0.8845,35.02,10.4,95.1,1244.4,13.09,904.2,1027.3,340.3,903.3,45.03,33.02,0.02,0.01,0.023,RUN,OK,RUN,0.98
2026-01-27T00:34:50.835921Z,70.6,70.7,70.84,21.2,power,0.873,35.02,10.48,95.12,1253.3,13.18,905.0,1032.7,348.3,904.0,45.04,33.02,0.03,0.01,0.027,RUN,OK,RUN,0.98
2026-01-27T00:34:51.035921Z,70.7,70.82,70.98,21.4,power,0.8614,35.03,10.56,95.14,1262.2,13.27,905.8,1038.2,356.3,904.7,45.05,33.03,0.03,0.01,0.031,RUN,OK,RUN,0.98
2026-01-27T00:34:51.235921Z,70.8,70.93,71.12,21.6,power,0.8496,35.03,10.64,95.16,1271.0,13.36,906.7,1043.6,364.4,905.3,45.05,33.03,0.03,0.01,0.035,RUN,OK,RUN,0.98
2026-01-27T00:34:51.435921Z,70.9,71.05,71.26,21.8,power,0.8376,35.04,10.72,95.18,1279.9,13.45,907.5,1049.0,372.4,906.0,45.06,33.03,0.04,0.01,0.039,RUN,OK,RUN,0.98
2026-01-27T00:34:51.635921Z,71.0,71.17,71.4,21.99,power,0.8254,35.04,10.8,95.2,1288.7,13.54,908.3,1054.5,380.4,906.7,45.07,33.04,0.04,0.01,0.043,RUN,OK,RUN,0.98
